series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,fill_ratio_observed,alpha_target,visible_depth,side_depth_total,depth_fraction,best_bid,best_ask,spread,seconds_to_event,minutes_to_event,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
NASDAQ100U,KXNASDAQ100U-25NOV11H1400,KXNASDAQ100U-25NOV11H1400,23000.0,NO,0.99,0.0,0.985,-0.985,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,1184.101559,19.735025983333333,0.0,1,0.0,9850.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
NASDAQ100U,KXNASDAQ100U-25NOV11H1400,KXNASDAQ100U-25NOV11H1400,23010.0,NO,0.99,0.0,0.985,-0.985,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,1184.101559,19.735025983333333,0.0,1,0.0,9850.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
NASDAQ100U,KXNASDAQ100U-25NOV10H1400,KXNASDAQ100U-25NOV10H1400,23100.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-85215.898441,-1420.2649740166667,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
NASDAQ100U,KXNASDAQ100U-25NOV10H1400,KXNASDAQ100U-25NOV10H1400,23110.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-85215.898441,-1420.2649740166667,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
NASDAQ100U,KXNASDAQ100U-25NOV07H1400,KXNASDAQ100U-25NOV07H1400,23600.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-344415.898441,-5740.264974016667,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
NASDAQ100U,KXNASDAQ100U-25NOV07H1400,KXNASDAQ100U-25NOV07H1400,23610.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-344415.898441,-5740.264974016667,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
NASDAQ100U,KXNASDAQ100U-25NOV06H1400,KXNASDAQ100U-25NOV06H1400,23400.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-430815.898441,-7180.264974016667,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
NASDAQ100U,KXNASDAQ100U-25NOV06H1400,KXNASDAQ100U-25NOV06H1400,23410.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-430815.898441,-7180.264974016667,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
NASDAQ100U,KXNASDAQ100U-25NOV05H1400,KXNASDAQ100U-25NOV05H1400,23900.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-517215.898441,-8620.264974016667,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
NASDAQ100U,KXNASDAQ100U-25NOV05H1400,KXNASDAQ100U-25NOV05H1400,23910.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-517215.898441,-8620.264974016667,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:40:16.005644-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184015/NASDAQ100U/manifest.json,2
